name,location,city,state,country,creators_rec,notes,address,rating,user_ratings_total,google_maps_link,lat,lng,opening_hours,type,google_place_id,type2
Little Gem Belgian Waffles,San Francisco Bay Area,Berkeley,California,United States of America,Yes,"A very tasty surprise in the middle of Telegraph avenue. Some of the best waffles I've tried, but I'd recommend keeping it to 2 toppings.","2468 Telegraph Ave Suite A, Berkeley, CA 94704, United States",4.5,214.0,"https://www.google.com/maps/search/?api=1&query=2468%20Telegraph%20Ave%20Suite%20A,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJOaTDxi58hYARnB1yJXzRhdE",37.8656,-122.2587,"Monday: 3:00 PM - 12:00 AM
Tuesday: 3:00 PM - 12:00 AM
Wednesday: 3:00 PM - 12:00 AM
Thursday: 3:00 PM - 12:00 AM
Friday: 12:00 PM - 12:30 AM
Saturday: 12:00 PM - 1:00 AM
Sunday: 12:00 PM - 12:00 AM",bakery,ChIJOaTDxi58hYARnB1yJXzRhdE,food
Tony’s Pizza Napoletana,San Francisco Bay Area,San Francisco,California,United States of America,Yes,The other pizza spot in my top 2. Incredibly popular but also fully deserves all its hype. Props for getting creative with the pizza: I loved the jam-flavored one I got.,"1570 Stockton St, San Francisco, CA 94133, United States",4.5,6677.0,"https://www.google.com/maps/search/?api=1&query=1570%20Stockton%20St,%20San%20Francisco,%20CA%2094133,%20United%20States&query_place_id=ChIJHXHcEvGAhYARQPuHNN78s78",37.8004,-122.409,"Monday: 12:00 - 10:00 PM
Tuesday: 12:00 - 10:00 PM
Wednesday: 12:00 - 10:00 PM
Thursday: 12:00 - 10:00 PM
Friday: 12:00 - 11:00 PM
Saturday: 12:00 - 11:00 PM
Sunday: 12:00 - 11:00 PM",restaurant,ChIJHXHcEvGAhYARQPuHNN78s78,food
Ghirardelli Ice Cream,San Francisco Bay Area,San Francisco,California,United States of America,,"One of Ghirardelli Chocolate's San Francisco spots. You can buy all sorts of chocolate or have some ice cream or dessert, all of which taste divine.","900 North Point St Ste 52, San Francisco, CA 94109, United States",4.5,739.0,"https://www.google.com/maps/search/?api=1&query=900%20North%20Point%20St%20Ste%2052,%20San%20Francisco,%20CA%2094109,%20United%20States&query_place_id=ChIJDQx5mOCAhYARUe0qN5p7M64",37.8056,-122.4223,"Monday: 9:00 AM - 11:00 PM
Tuesday: 9:00 AM - 11:00 PM
Wednesday: 9:00 AM - 11:00 PM
Thursday: 9:00 AM - 11:00 PM
Friday: 9:00 AM - 12:00 AM
Saturday: 9:00 AM - 12:00 AM
Sunday: 9:00 AM - 11:00 PM",restaurant,ChIJDQx5mOCAhYARUe0qN5p7M64,food
Artichoke’s Basille Pizza,San Francisco Bay Area,Berkeley,California,United States of America,,"One of those student classic places for a quick slice of pizza. The slice itself is average, but it's a quintessential Berkeley experience.","2590 Durant Ave, Berkeley, CA 94704, United States",4.5,992.0,"https://www.google.com/maps/search/?api=1&query=2590%20Durant%20Ave,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJDbudpy98hYARBRu1gsKfwGk",37.8679,-122.2569,"Monday: 11:00 AM - 2:00 AM
Tuesday: 11:00 AM - 2:00 AM
Wednesday: 11:00 AM - 2:00 AM
Thursday: 11:00 AM - 2:00 AM
Friday: 11:00 AM - 3:00 AM
Saturday: 11:00 AM - 3:00 AM
Sunday: 11:00 AM - 2:00 AM",restaurant,ChIJDbudpy98hYARBRu1gsKfwGk,food
Gregoire,San Francisco Bay Area,Berkeley,California,United States of America,Yes,The notorious potato puffs with truffle oil. Non-optional and highly craveable.,"2109 Cedar St, Berkeley, CA 94709, United States",4.5,827.0,"https://www.google.com/maps/search/?api=1&query=2109%20Cedar%20St,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJtd1mG6F-hYARojnUY51ID8Q",37.8786,-122.2686,"Monday: 11:30 AM - 7:00 PM
Tuesday: 11:30 AM - 7:00 PM
Wednesday: 11:30 AM - 7:00 PM
Thursday: 11:30 AM - 7:00 PM
Friday: 11:30 AM - 7:00 PM
Saturday: 11:30 AM - 7:00 PM
Sunday: 11:30 AM - 7:00 PM",meal_takeaway,ChIJtd1mG6F-hYARojnUY51ID8Q,food
Casa Barotti,San Francisco Bay Area,Oakland,California,United States of America,Yes,Among the only Italian streetfood spots in the Bay. Choose a few small slices from their selection and enjoy.,"3204 College Ave, Berkeley, CA 94705, United States",4.7,120.0,"https://www.google.com/maps/search/?api=1&query=3204%20College%20Ave,%20Berkeley,%20CA%2094705,%20United%20States&query_place_id=ChIJ9yXzCC59hYAR44ho2cVTyl0",37.851,-122.2527,"Monday: Closed
Tuesday: 11:30 AM - 8:00 PM
Wednesday: 11:30 AM - 8:00 PM
Thursday: 11:30 AM - 8:00 PM
Friday: 11:30 AM - 8:00 PM
Saturday: 11:30 AM - 8:00 PM
Sunday: 11:30 AM - 6:30 PM",restaurant,ChIJ9yXzCC59hYAR44ho2cVTyl0,food
Taco Sinaloa,San Francisco Bay Area,Berkeley,California,United States of America,,Try the shrimp tacos with a cheese topping in this Telegraph Avenue spot for some simple and high-quality tacos.,"2384 Telegraph Ave, Berkeley, CA 94704, United States",4.4,501.0,"https://www.google.com/maps/search/?api=1&query=2384%20Telegraph%20Ave,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJhQLUOi98hYARI1hus_3fG9M",37.8673,-122.2591,"Monday: 11:00 AM - 11:00 PM
Tuesday: 11:00 AM - 11:00 PM
Wednesday: 11:00 AM - 11:00 PM
Thursday: 11:00 AM - 11:00 PM
Friday: 11:00 AM - 12:00 AM
Saturday: 11:00 AM - 12:00 AM
Sunday: 11:00 AM - 11:00 PM",restaurant,ChIJhQLUOi98hYARI1hus_3fG9M,food
Brenda’s,San Francisco Bay Area,San Francisco,California,United States of America,,"Whatever other dish you get, the crawfish beignets are a must: there is no coming back from that level of new flavor discovery.","652 Polk St, San Francisco, CA 94102, United States",4.5,5388.0,"https://www.google.com/maps/search/?api=1&query=652%20Polk%20St,%20San%20Francisco,%20CA%2094102,%20United%20States&query_place_id=ChIJZ9s5SJeAhYARIX3Fxl6oj6c",37.7829,-122.4189,"Monday: 8:00 AM - 8:00 PM
Tuesday: 8:00 AM - 3:00 PM
Wednesday: 8:00 AM - 8:00 PM
Thursday: 8:00 AM - 8:00 PM
Friday: 8:00 AM - 8:00 PM
Saturday: 8:00 AM - 8:00 PM
Sunday: 8:00 AM - 8:00 PM",restaurant,ChIJZ9s5SJeAhYARIX3Fxl6oj6c,food
Donato,San Francisco Bay Area,Berkeley,California,United States of America,,Amazing Italian food also on a corner of College Avenue: the pasta and rice dishes are my go-tos.,"2635 Ashby Ave, Berkeley, CA 94705, United States",4.3,341.0,"https://www.google.com/maps/search/?api=1&query=2635%20Ashby%20Ave,%20Berkeley,%20CA%2094705,%20United%20States&query_place_id=ChIJ7duu8c19hYARVXrcEsI7p2g",37.8571,-122.2535,"Monday: Closed
Tuesday: 12:00 - 2:30 PM, 5:00 - 9:00 PM
Wednesday: 12:00 - 2:30 PM, 5:00 - 9:00 PM
Thursday: 12:00 - 2:30 PM, 5:00 - 9:00 PM
Friday: 12:00 - 2:30 PM, 5:00 - 9:30 PM
Saturday: 12:00 - 2:30 PM, 5:00 - 9:30 PM
Sunday: 12:00 - 2:30 PM, 5:00 - 8:30 PM",restaurant,ChIJ7duu8c19hYARVXrcEsI7p2g,food
Sotto Mare,San Francisco Bay Area,San Francisco,California,United States of America,,An old-style Italian spot known for their cioppino (which also originated in this neighborhood).,"552 Green St, San Francisco, CA 94133, United States",4.6,3501.0,"https://www.google.com/maps/search/?api=1&query=552%20Green%20St,%20San%20Francisco,%20CA%2094133,%20United%20States&query_place_id=ChIJQfYyVvGAhYARJVwoboB1WKQ",37.7997,-122.4083,"Monday: 11:30 AM - 9:00 PM
Tuesday: 11:30 AM - 9:00 PM
Wednesday: 11:30 AM - 9:00 PM
Thursday: 11:30 AM - 9:00 PM
Friday: 11:30 AM - 10:00 PM
Saturday: 11:30 AM - 10:00 PM
Sunday: 11:30 AM - 9:00 PM",restaurant,ChIJQfYyVvGAhYARJVwoboB1WKQ,food
Boichik Bagels,San Francisco Bay Area,Oakland,California,United States of America,,Yet another Bay Area classic: arguably one of the best bagel stores on the East Bay. Get a lox bagel that will keep you full all day.,"3170 College Ave, Berkeley, CA 94705, United States",4.5,502.0,"https://www.google.com/maps/search/?api=1&query=3170%20College%20Ave,%20Berkeley,%20CA%2094705,%20United%20States&query_place_id=ChIJn9T-ECV9hYARV4O5ll6y04k",37.8515,-122.2527,"Monday: 7:30 AM - 1:00 PM
Tuesday: 7:30 AM - 1:00 PM
Wednesday: 7:30 AM - 1:00 PM
Thursday: 7:30 AM - 1:00 PM
Friday: 7:30 AM - 1:00 PM
Saturday: 7:30 AM - 1:00 PM
Sunday: 7:30 AM - 1:00 PM",bakery,ChIJn9T-ECV9hYARV4O5ll6y04k,food
La Note,San Francisco Bay Area,Berkeley,California,United States of America,,"Brunch spot a few blocks from Berkeley's campus: my favorites were the French toast on brioche bread or the creme fraiche pancakes. The place gets really busy very quickly, but it's a nice bustling spot with quality food.","2377 Shattuck Ave., Berkeley, CA 94704, United States",4.4,1580.0,"https://www.google.com/maps/search/?api=1&query=2377%20Shattuck%20Ave.,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJB_-A0oJ-hYARwmbyJJR3sUo",37.8662,-122.2672,"Monday: 8:00 AM - 2:00 PM
Tuesday: 8:00 AM - 2:00 PM
Wednesday: 8:00 AM - 2:00 PM
Thursday: 8:00 AM - 2:00 PM
Friday: 8:00 AM - 2:00 PM
Saturday: 8:00 AM - 3:00 PM
Sunday: 8:00 AM - 3:00 PM",cafe,ChIJB_-A0oJ-hYARwmbyJJR3sUo,coffee
Lazy Dog,San Francisco Bay Area,Cupertino,California,United States of America,,"American-style food: generous portions, tasty burgers and ample seating in a place that looks like a tribute to road-trips and US culture.","19359 Stevens Creek Blvd, Cupertino, CA 95014, United States",4.3,4405.0,"https://www.google.com/maps/search/?api=1&query=19359%20Stevens%20Creek%20Blvd,%20Cupertino,%20CA%2095014,%20United%20States&query_place_id=ChIJAb33GUS0j4ARjGKbpYi5jR4",37.3234,-122.0086,"Monday: 11:00 AM - 12:00 AM
Tuesday: 11:00 AM - 12:00 AM
Wednesday: 11:00 AM - 12:00 AM
Thursday: 11:00 AM - 12:00 AM
Friday: 11:00 AM - 12:00 AM
Saturday: 10:00 AM - 12:00 AM
Sunday: 10:00 AM - 12:00 AM",restaurant,ChIJAb33GUS0j4ARjGKbpYi5jR4,food
Chez Panisse,San Francisco Bay Area,Berkeley,California,United States of America,,"A California classic: the place that popularized the farm-to-table, slow food movement which spread around the world. Definitely a splurge, but their upstairs cafe offers reasonably-priced items that are still super tasty.","1517 Shattuck Ave., Berkeley, CA 94709, United States",4.6,1944.0,"https://www.google.com/maps/search/?api=1&query=1517%20Shattuck%20Ave.,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJcYtcJaF-hYAR-VzrwZpQY0E",37.8796,-122.269,"Monday: Closed
Tuesday: 5:00 - 10:00 PM
Wednesday: 5:00 - 10:00 PM
Thursday: 5:00 - 10:00 PM
Friday: 11:30 AM - 2:45 PM, 5:00 - 10:00 PM
Saturday: 11:30 AM - 2:45 PM, 5:00 - 10:00 PM
Sunday: Closed",cafe,ChIJcYtcJaF-hYAR-VzrwZpQY0E,coffee
Hog Island Oysters,San Francisco Bay Area,San Francisco,California,United States of America,,Among the best seafood places in San Francisco: great selection of fresh oysters and a couple of other fish plates as well. The restaurant offers some Bay Bridge views but is also on the noisier side.,"Ferry Building, #11, San Francisco, CA 94111, United States",4.6,2704.0,"https://www.google.com/maps/search/?api=1&query=Ferry%20Building,%20#11,%20San%20Francisco,%20CA%2094111,%20United%20States&query_place_id=ChIJWTGPjmaAhYARgXpiJ-aACYM",37.7954,-122.3936,"Monday: 11:00 AM - 8:00 PM
Tuesday: 11:00 AM - 8:00 PM
Wednesday: 11:00 AM - 8:00 PM
Thursday: 11:00 AM - 8:00 PM
Friday: 11:00 AM - 8:00 PM
Saturday: 11:00 AM - 8:00 PM
Sunday: 11:00 AM - 8:00 PM",bar,ChIJWTGPjmaAhYARgXpiJ-aACYM,drinks
Bollywood Cafe,San Francisco Bay Area,Berkeley,California,United States of America,,Good Indian food and very friendly owners. Bonus for being really close to campus and for having some sunny outdoor seating.,"1805 Euclid Ave, Berkeley, CA 94709, United States",4.5,63.0,"https://www.google.com/maps/search/?api=1&query=1805%20Euclid%20Ave,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJq8H9nml9hYARO2pGXW6_Tm8",37.8758,-122.2602,"Monday: 11:00 AM - 8:30 PM
Tuesday: 11:00 AM - 8:30 PM
Wednesday: 11:00 AM - 8:30 PM
Thursday: 11:00 AM - 8:30 PM
Friday: 11:00 AM - 8:30 PM
Saturday: 12:00 - 8:30 PM
Sunday: Closed",restaurant,ChIJq8H9nml9hYARO2pGXW6_Tm8,food
Nabolom,San Francisco Bay Area,Berkeley,California,United States of America,,Tiny bakery (with occasional pizza) that is good for recharging after long bike rides or for a treat to start your day.,"2708 Russell St, Berkeley, CA 94705, United States",4.7,288.0,"https://www.google.com/maps/search/?api=1&query=2708%20Russell%20St,%20Berkeley,%20CA%2094705,%20United%20States&query_place_id=ChIJo1PumM19hYARx4eP1QxtjSg",37.8584,-122.2528,"Monday: Closed
Tuesday: Closed
Wednesday: 8:00 AM - 2:00 PM
Thursday: 8:00 AM - 2:00 PM
Friday: 8:00 AM - 7:00 PM
Saturday: 8:00 AM - 2:00 PM
Sunday: 8:00 AM - 2:00 PM",bakery,ChIJo1PumM19hYARx4eP1QxtjSg,food
Viks Chaat,San Francisco Bay Area,Berkeley,California,United States of America,Yes,Another Bay Area classic that lives up to the hype. Get one of their chaat dishes or a selection of smaller snacks (pani puri was yummy).,"2390 Fourth St, Berkeley, CA 94710, United States",4.2,3688.0,"https://www.google.com/maps/search/?api=1&query=2390%20Fourth%20St,%20Berkeley,%20CA%2094710,%20United%20States&query_place_id=ChIJfbzMc-h-hYARG3cEXmb1XRU",37.8614,-122.298,"Monday: 11:00 AM - 2:30 PM, 5:00 - 7:30 PM
Tuesday: 11:00 AM - 2:30 PM, 5:00 - 7:30 PM
Wednesday: 11:00 AM - 2:30 PM, 5:00 - 7:30 PM
Thursday: 11:00 AM - 2:30 PM, 5:00 - 7:30 PM
Friday: 11:00 AM - 7:30 PM
Saturday: 11:00 AM - 7:30 PM
Sunday: 11:00 AM - 7:30 PM",grocery_or_supermarket,ChIJfbzMc-h-hYARG3cEXmb1XRU,shopping
Cheeseboard,San Francisco Bay Area,Berkeley,California,United States of America,Yes,Worker-owned and operated pizza place with vegan ingredients and a new veggie-based set of toppings each day. One of Berkeley's landmarks and hugely influential in food movements.,"1512 Shattuck Ave., Berkeley, CA 94709, United States",4.8,3153.0,"https://www.google.com/maps/search/?api=1&query=1512%20Shattuck%20Ave.,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJr5hMNKF-hYARxmkk-5t0SzE",37.8799,-122.2695,,restaurant,ChIJr5hMNKF-hYARxmkk-5t0SzE,food
B Patisserie,San Francisco Bay Area,San Francisco,California,United States of America,,Vienna-style pastries: very fresh and tasty. This place is also good for larger parties or take out.,"2821 California St, San Francisco, CA 94115, United States",4.7,2330.0,"https://www.google.com/maps/search/?api=1&query=2821%20California%20St,%20San%20Francisco,%20CA%2094115,%20United%20States&query_place_id=ChIJ59WgYcmAhYARu5gLD0FVpw4",37.7879,-122.4409,"Monday: Closed
Tuesday: Closed
Wednesday: 8:00 AM - 4:00 PM
Thursday: 8:00 AM - 4:00 PM
Friday: 8:00 AM - 4:00 PM
Saturday: 8:00 AM - 5:00 PM
Sunday: 8:00 AM - 5:00 PM",bakery,ChIJ59WgYcmAhYARu5gLD0FVpw4,food
Third Culture Bakery,San Francisco Bay Area,Berkeley,California,United States of America,Yes,Mochi donuts! Can't go wrong with any flavor since they'll always be the perfect mix of chewy and crunchy.,"2701 Eighth St, Berkeley, CA 94710, United States",4.6,529.0,"https://www.google.com/maps/search/?api=1&query=2701%20Eighth%20St,%20Berkeley,%20CA%2094710,%20United%20States&query_place_id=ChIJy_LqU91-hYARrF2Z8bMXT-w",37.857,-122.2917,"Monday: 9:00 AM - 4:00 PM
Tuesday: 9:00 AM - 4:00 PM
Wednesday: 9:00 AM - 4:00 PM
Thursday: 9:00 AM - 4:00 PM
Friday: 9:00 AM - 4:00 PM
Saturday: 9:00 AM - 4:00 PM
Sunday: 9:00 AM - 4:00 PM",bakery,ChIJy_LqU91-hYARrF2Z8bMXT-w,food
La Marcha Tapas Bar,San Francisco Bay Area,Berkeley,California,United States of America,,Great Spanish food in a fancy-looking space. The crab tapas and the octopus platter were amazing and definitely worth a try.,"2026 San Pablo Ave, Berkeley, CA 94702, United States",4.4,956.0,"https://www.google.com/maps/search/?api=1&query=2026%20San%20Pablo%20Ave,%20Berkeley,%20CA%2094702,%20United%20States&query_place_id=ChIJZSVa58F-hYAR9fvuy-pr6Rg",37.8686,-122.2922,"Monday: 4:00 - 10:00 PM
Tuesday: 4:00 - 10:00 PM
Wednesday: 4:00 - 10:00 PM
Thursday: 4:00 - 10:00 PM
Friday: 4:00 - 10:00 PM
Saturday: 4:00 - 10:00 PM
Sunday: 4:00 - 10:00 PM",bar,ChIJZSVa58F-hYAR9fvuy-pr6Rg,drinks
Cinderella,San Francisco Bay Area,San Francisco,California,United States of America,,"Russian bakery in a quiet part of the Richmond district. Don't be fooled, however, Cinderella has been around since 1953 and that's for good reason, their pastries are amazing!","436 Balboa St, San Francisco, CA 94118, United States",4.7,2259.0,"https://www.google.com/maps/search/?api=1&query=436%20Balboa%20St,%20San%20Francisco,%20CA%2094118,%20United%20States&query_place_id=ChIJG6DZVEeHhYARN90v8rBlRsY",37.7774,-122.4637,"Monday: 7:00 AM - 7:00 PM
Tuesday: 7:00 AM - 7:00 PM
Wednesday: 7:00 AM - 7:00 PM
Thursday: 7:00 AM - 7:00 PM
Friday: 7:00 AM - 7:00 PM
Saturday: 7:00 AM - 7:00 PM
Sunday: 7:00 AM - 7:00 PM",bakery,ChIJG6DZVEeHhYARN90v8rBlRsY,food
Oma San Francisco Station,San Francisco Bay Area,San Francisco,California,United States of America,Yes,Omakase spot hidden at the edge of a Japantown mall. Relatively affordable and amazing sushi and service.,"1737 Post St #337, San Francisco, CA 94115, United States",4.6,160.0,"https://www.google.com/maps/search/?api=1&query=1737%20Post%20St%20#337,%20San%20Francisco,%20CA%2094115,%20United%20States&query_place_id=ChIJwbERTIWBhYARsQKbK5ikRuk",37.785,-122.431,"Monday: 6:00 - 9:30 PM
Tuesday: 6:00 - 9:30 PM
Wednesday: 6:00 - 9:30 PM
Thursday: 6:00 - 9:30 PM
Friday: 5:00 - 10:00 PM
Saturday: 5:00 - 10:00 PM
Sunday: 5:00 - 10:00 PM",restaurant,ChIJwbERTIWBhYARsQKbK5ikRuk,food
The Anchovy Bar,San Francisco Bay Area,San Francisco,California,United States of America,,"Anchovy-based spreads and dishes: an interesting concept executed in a creative way. If you're feeling brave, give the anchovy ice cream a try.","1740 O'Farrell St, San Francisco, CA 94115, United States",4.6,213.0,"https://www.google.com/maps/search/?api=1&query=1740%20O'Farrell%20St,%20San%20Francisco,%20CA%2094115,%20United%20States&query_place_id=ChIJN1jrY56BhYAROCDrviZM73k",37.7834,-122.4332,"Monday: 5:30 - 9:00 PM
Tuesday: 5:30 - 9:00 PM
Wednesday: 5:30 - 9:00 PM
Thursday: 5:30 - 9:00 PM
Friday: 5:00 - 9:30 PM
Saturday: 5:00 - 9:30 PM
Sunday: 5:00 - 9:00 PM",restaurant,ChIJN1jrY56BhYAROCDrviZM73k,food
Shawarmaji,San Francisco Bay Area,Oakland,California,United States of America,Yes,"My favorite Middle Eastern spot in the Bay that's exactly what I imagine shawarma should taste like: flavorful, fresh, filling.","2123 Franklin St, Oakland, CA 94612, United States",4.5,554.0,"https://www.google.com/maps/search/?api=1&query=2123%20Franklin%20St,%20Oakland,%20CA%2094612,%20United%20States&query_place_id=ChIJ06KARiyBj4ARJmSJSSDm0W4",37.8103,-122.2668,"Monday: 11:00 AM - 9:00 PM
Tuesday: 11:00 AM - 9:00 PM
Wednesday: 11:00 AM - 9:00 PM
Thursday: 11:00 AM - 9:00 PM
Friday: 11:00 AM - 9:00 PM
Saturday: 11:00 AM - 9:00 PM
Sunday: 11:00 AM - 7:00 PM",meal_takeaway,ChIJ06KARiyBj4ARJmSJSSDm0W4,food
Mama Oakland,San Francisco Bay Area,Oakland,California,United States of America,,"Awesome Italian food in a 3-items fixed menu style: very innovative dishes and presentation. For example, sometimes you'll get your soup constructed in front of you!","388 Grand Ave, Oakland, CA 94610, United States",4.7,286.0,"https://www.google.com/maps/search/?api=1&query=388%20Grand%20Ave,%20Oakland,%20CA%2094610,%20United%20States&query_place_id=ChIJP3byt5iHj4ARj2K4nYYLMco",37.8091,-122.2545,"Monday: 5:30 - 9:00 PM
Tuesday: 5:30 - 9:00 PM
Wednesday: 5:30 - 9:00 PM
Thursday: 5:30 - 9:00 PM
Friday: 5:00 - 10:00 PM
Saturday: 5:00 - 10:00 PM
Sunday: 5:00 - 9:00 PM",bar,ChIJP3byt5iHj4ARj2K4nYYLMco,drinks
Cupcakin Bake Shop,San Francisco Bay Area,Berkeley,California,United States of America,,Some of the best mini cupcakes around and highly crave-inducing. The place is on the busy Telegraph Avenue right next to Berkeley's campus.,"2391 Telegraph Ave, Berkeley, CA 94704, United States",4.6,253.0,"https://www.google.com/maps/search/?api=1&query=2391%20Telegraph%20Ave,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJlzvpsih8hYAR6DCl58938GY",37.8671,-122.2587,"Monday: 11:00 AM - 6:00 PM
Tuesday: 11:00 AM - 6:00 PM
Wednesday: 11:00 AM - 6:00 PM
Thursday: 11:00 AM - 6:00 PM
Friday: 11:00 AM - 7:00 PM
Saturday: 11:00 AM - 7:00 PM
Sunday: 11:00 AM - 6:00 PM",bakery,ChIJlzvpsih8hYAR6DCl58938GY,food
Bob Donuts,San Francisco Bay Area,San Francisco,California,United States of America,,Simple but very tasty donuts to enjoy while walking around Nob Hill.,"1621 Polk St, San Francisco, CA 94109, United States",4.6,3481.0,"https://www.google.com/maps/search/?api=1&query=1621%20Polk%20St,%20San%20Francisco,%20CA%2094109,%20United%20States&query_place_id=ChIJj-FdH-uAhYARIp6mvqK3HNM",37.7919,-122.4212,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",bakery,ChIJj-FdH-uAhYARIp6mvqK3HNM,food
Saul’s Deli,San Francisco Bay Area,Berkeley,California,United States of America,,A real staple for deli food in the Bay: try out the shakshouka for an explosion of flavor and freshness.,"1475 Shattuck Ave., Berkeley, CA 94709, United States",4.5,1783.0,"https://www.google.com/maps/search/?api=1&query=1475%20Shattuck%20Ave.,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJgcIf0KZ-hYAR_yowREPdtsY",37.8807,-122.269,"Monday: 8:00 AM - 9:00 PM
Tuesday: 8:00 AM - 9:00 PM
Wednesday: 8:00 AM - 9:00 PM
Thursday: 8:00 AM - 9:00 PM
Friday: 8:00 AM - 9:00 PM
Saturday: 8:00 AM - 9:00 PM
Sunday: 8:00 AM - 9:00 PM",restaurant,ChIJgcIf0KZ-hYAR_yowREPdtsY,food
Arizmendi,San Francisco Bay Area,Oakland,California,United States of America,,A classic Bay Area bakery and pizza co-op with pizza-of-the-day offerings and a huge selection of bread and baked goods.,"1331 9th Ave, San Francisco, CA 94122, United States",4.7,1596.0,"https://www.google.com/maps/search/?api=1&query=1331%209th%20Ave,%20San%20Francisco,%20CA%2094122,%20United%20States&query_place_id=ChIJMdUfNVyHhYAR7pvCohDZC70",37.7634,-122.4664,"Monday: Closed
Tuesday: 7:30 AM - 6:00 PM
Wednesday: 7:30 AM - 6:00 PM
Thursday: 7:30 AM - 6:00 PM
Friday: 7:30 AM - 6:00 PM
Saturday: 7:30 AM - 6:00 PM
Sunday: 7:30 AM - 6:00 PM",bakery,ChIJMdUfNVyHhYAR7pvCohDZC70,food
Fish and Bird Sousaku Izakaya,San Francisco Bay Area,Berkeley,California,United States of America,,"Great Japanese curry I would highly recommend, but many of their dishes are carefully thought-out and creatively executed. One of Berkeley's food destinations in my opinion.","2451 Shattuck Ave., Berkeley, CA 94704, United States",4.3,262.0,"https://www.google.com/maps/search/?api=1&query=2451%20Shattuck%20Ave.,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJSVtssxl_hYAR2l6XqAe_ylA",37.8648,-122.2672,"Monday: 4:30 - 9:00 PM
Tuesday: Closed
Wednesday: 5:00 - 9:00 PM
Thursday: 5:00 - 9:00 PM
Friday: 4:30 - 9:30 PM
Saturday: 4:30 - 9:30 PM
Sunday: 4:30 - 9:00 PM",restaurant,ChIJSVtssxl_hYAR2l6XqAe_ylA,food
Rick and Ann’s,San Francisco Bay Area,Berkeley,California,United States of America,,"French-inspired brunch place, a bit out of the way but still worth it for their lemon ricotta pancakes and rustic vibes.","2922 Domingo Ave, Berkeley, CA 94705, United States",4.5,667.0,"https://www.google.com/maps/search/?api=1&query=2922%20Domingo%20Ave,%20Berkeley,%20CA%2094705,%20United%20States&query_place_id=ChIJ4RFe8sl9hYARBEIC4MggivE",37.8585,-122.2441,"Monday: 8:30 AM - 2:00 PM
Tuesday: Closed
Wednesday: Closed
Thursday: 8:30 AM - 2:00 PM
Friday: 8:30 AM - 2:00 PM
Saturday: 8:30 AM - 2:00 PM
Sunday: 8:30 AM - 2:00 PM",cafe,ChIJ4RFe8sl9hYARBEIC4MggivE,coffee
Takoyaki Yamachan,San Francisco Bay Area,San Francisco,California,United States of America,,Japanese streetfood takoyakis (octopus-filled dough balls) in a busy indoor mall in Japantown.,"1737 Post St STE395, San Francisco, CA 94115, United States",4.4,100.0,"https://www.google.com/maps/search/?api=1&query=1737%20Post%20St%20STE395,%20San%20Francisco,%20CA%2094115,%20United%20States&query_place_id=ChIJsw58pmiBhYARl8AD1CNFAyw",37.7851,-122.4305,"Monday: 11:00 AM - 7:00 PM
Tuesday: 11:00 AM - 7:00 PM
Wednesday: 11:00 AM - 7:00 PM
Thursday: 11:00 AM - 7:00 PM
Friday: 11:00 AM - 7:00 PM
Saturday: 11:00 AM - 7:00 PM
Sunday: 11:00 AM - 7:00 PM",meal_takeaway,ChIJsw58pmiBhYARl8AD1CNFAyw,food
Mochill Mochi Donuts,San Francisco Bay Area,San Francisco,California,United States of America,Yes,Very crave-inducing mochi donut spot. My favorite is the black sesame which is a great mix of chewy-ness and flowery-looking donut.,"1737 Post St STE395, San Francisco, CA 94115, United States",4.6,313.0,"https://www.google.com/maps/search/?api=1&query=1737%20Post%20St%20STE395,%20San%20Francisco,%20CA%2094115,%20United%20States&query_place_id=ChIJYTeHK0SBhYARyEEvKzjrBl8",37.7851,-122.4305,"Monday: 11:00 AM - 7:00 PM
Tuesday: 11:00 AM - 7:00 PM
Wednesday: 11:00 AM - 7:00 PM
Thursday: 11:00 AM - 7:00 PM
Friday: 11:00 AM - 7:00 PM
Saturday: 11:00 AM - 7:00 PM
Sunday: 11:00 AM - 7:00 PM",bakery,ChIJYTeHK0SBhYARyEEvKzjrBl8,food
